법정동,단지명,주소,세대수,준공연도,브랜드,건축유형,역세권,노선,전용면적,평형,2025.03,거래일,2024.01~03,2022.01~03,2025.05_추정_실거래가,2025.05_보정_추정실거래가,20250521호가,기준단지_평단가,보정_평단가,유사단지,대지지분,추정가,추천 태그,리포트 링크
잠원동,반포 르엘,신반포로23길 26,596.0,2022.0,브랜드,신축,Y,"3,7,9",84.11,33.0,34.5,2024.05,-,-,28.43,28.43,50,0.0,,,,,,
잠원동,반포 르엘,신반포로23길 27,596.0,2022.0,브랜드,신축,Y,"3,7,9",84.34,33.0,42.5,2025.03,34.5,-,42.5,42.5,44,0.5039127341712117,,,,,,
잠원동,반포 르엘,신반포로23길 28,596.0,2022.0,브랜드,신축,Y,"3,7,9",59.94,24.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,반포 르엘2차,신반포로23길 33,280.0,2022.0,브랜드,신축,Y,"3,7,9",100.96,40.0,40,2024.06,-,-,28.43,28.43,57,0.0,,,,,,
잠원동,반포 르엘2차,신반포로23길 34,280.0,2022.0,브랜드,신축,Y,"3,7,9",84.37,33.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,반포 르엘2차,신반포로23길 35,280.0,2022.0,브랜드,신축,Y,"3,7,9",84.12,33.0,39,2024.11,32.6,-,46.65644171779141,46.65644171779141,45,0.5546414849951428,,,,,,
잠원동,반포 르엘2차,신반포로23길 36,280.0,2022.0,브랜드,신축,Y,"3,7,9",59.88,24.0,27.6,2024.06,24.5,-,31.092244897959183,31.092244897959183,-,0.5192425667661854,,,,,,
잠원동,반포 르엘2차,신반포로23길 37,280.0,2022.0,브랜드,신축,Y,"3,7,9",54.98,22.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,반포 센트럴자이,반포대로 310-6,757.0,2020.0,브랜드,신축,Y,"3,7,9",114.78,47.0,-,-,-,-,0.0,0.0,-,0.0,,,,,,
잠원동,반포 센트럴자이,반포대로 310-7,757.0,2020.0,브랜드,신축,Y,"3,7,9",114.96,46.0,56,2025.03,-,-,56.0,56.0,94,0.4871259568545581,,,,,,
